ID1NAME,IDNAME,n_covid1,n_covid2,n_covid3,quar1,quar2,quar3,insurance_coverage,ratio_reg_nonreg,Tot_in_mig,Netmig,Inter_guns,Areaper,Circulatory,Infection_parasites,Neoplasm,Overall,Respiratory,smoke_curr_rate,drink_monthly_rate,ob_meas_rate,ob_subj_rate,mental_prev,mental_perception,db_trt_rate,hc_utility_rate,hc_inf_vacc_rate,stroke_rate,rate_cars,apt,n_students_high_per_class,Tot_pop,hh_pop_pct,For_Kor_pct,apt_price,rate_ser_workers,rate_dis_sev,rate_urbanic,rate_ret_work,rate_urb_are,rate_uni,rate_emp,log_GDP,n,group,ID,ID1,code,elderly_alone_ratio,Total,rentals,smoke_cess_1mo,social_groups,org_leisure_sports,rate_hh,rate_dep,rate_inmig,high_sch_p,For_Kor_Pop_100K,GDP_pp,ln_total,netmig2,inter_guns2,tot_in_mig2,x,y,rate_urb_area,Health_behavior,Healthcare_access,Local_economy,Migration,Morbidity,Social_distancing1,Social_distancing2,hc_unmet_rate,r_hesowo,n_Health_Social_Workers,n_workers_industry,GROUP1,n_covid,hesoc,Crowding,diff_sd,seq
Gyeonggi,Ilsanseo,0,0,0,1,2,3,0.037041036,20.266623177,18470,2350,3327,0.4418,48.1,6.9,80.5,278.5,29.1,19.5,61.6,31.1,39.9,4.1,30.5,83.5,14.5,32.1,59.2,0.4,23.5,25.04,"1,006,992",37.3,1.82,97.8,20.3,2.4652048087,1.9205804912,6.5396745952,19205.804912,0,0.1177779193,16.659931334,102,13,KR-41287,KR-41,96,0,282654,19.6,3.7,75.9,49.2,0.0353297671,0.0389755673,0,29.2105618,16.997085597,60.822058064,13.822478227,0.2333682889,0.3303899137,1.8341754453,126.72414467,37.6747345,19.205804912,43.311906386,16.387822854,38.516890683,1.0246941057,80.494239143,11.392111927,20.561014537,8.9,11.5,"38,170","332,904",13,0,3.7904968461,10.858383178,15.343808458,98
Gyeonggi,Jangan,6,7,13,1,2,3,0.0341789319,21.267932846,19033,-585,5420,0,67.9,8.4,94.4,329.3,33.6,21.5,62.6,37.4,40.9,2.9,30.1,96.0,18.1,42.1,63.6,0,0,0,"288,719",37.2,3.52,0,20.3,0,0.9938826412,4.8020951017,9938.8264116,0,0.0741956712,17.094320583,103,8,KR-41111,KR-41,76,0,288719,0,7.0,75.9,49.2,0.0371735147,0.0393095016,0,31.37381809,35.217302445,0.1259425254,12.573209176,-0.202619156,1.8772578182,6.592222888,127.00375757,37.3185345,9.9388264116,46.734327736,17.999043566,6.3708339782,1.6595555444,95.492354476,10.869677107,0.9732064012,5.0,,,,,26,,10.335545847,1.2940890089,99
Gyeonggi,Jungwon,31,10,17,1,2,3,0,0,15592,-538,4134,0,70.6,7.0,97.9,348.7,28.2,25.1,61.8,31.8,35.9,2.8,28.9,86.8,26.0,37.5,64.7,0,0,0,"221,034",40.9,2.12,0,20.3,1.8639666296,1.5226751436,7.9196429434,15226.751436,0,0,17.031219453,104,7,KR-41133,KR-41,81,0,221034,0,2.0,75.9,49.2,0.0408995901,0,0,36.032769449,21.18753696,0.1645086276,12.306071815,-0.243401468,1.8703004968,7.0541183709,127.16982425,37.4399465,15.226751436,44.142492674,12.75971294,6.3252587642,0.9376761142,97.903187231,12.103382903,1.6050176111,9.6,,,,,58,,11.512430249,2.1342190587,100
Gyeonggi,Manan,7,4,21,1,2,3,0.0394013432,19.958504402,9049,-2336,2408,0.3569,65.9,5.4,86.2,273.7,23.4,19.5,63.1,35.9,45.1,2.3,27.2,93.1,18.8,40.7,40.2,0.4,20,24.86,"566,574",36.9,1.89,108.4,20.3,1.5165714921,1.0321697431,7.0222071609,10321.697431,0,0.1014232501,16.567648966,105,4,KR-41171,KR-41,84,0,251818,21.9,3.4,75.9,49.2,0.0382617605,0.0360244303,0,29.610674532,32.502224354,62.251777077,13.247362978,-0.412302718,0.4250106782,1.5971435329,126.90095714,37.4035535,10.321697431,46.223124297,18.398700444,41.977946449,0.7390669801,80.21185675,10.944272126,18.942259983,10.8,7.5,"19,222","255,402",13,32,3.3926724488,10.421336839,14.349529201,101
Gyeonggi,Namyangju,12,15,20,1,2,3,0.024319247,21.672651052,10408,1594,2608,0.6741,58.0,8.3,92.6,312.5,34.4,22.7,56.0,32.2,42.5,4.4,31.2,92.6,15.3,35.6,43.0,0.4,21.1,26.47,"661,866",35.5,1.50,100.8,20.3,2.0925149865,3.6531924891,4.9704925166,36531.924891,0.1898833926,0.0313700656,15.842749049,106,13,KR-41360,KR-41,20090,5,526639,19.4,1.5,75.9,49.2,0.0446778533,0.0479013138,1.9763063503,33.481890502,15.046276771,14.418014997,13.402818398,0.2408342474,0.3940374638,1.5725237435,127.25771259,37.6437695,36.531924891,41.79252008,17.884475304,39.178236813,0.8727309623,89.002751332,11.55944748,19.568526934,13.5,10.8,"17,801","165,207",13,47,2.6895172135,11.04267913,14.3621023,102
Gyeonggi,Ojeong,0,0,0,1,2,3,0.2404122191,19.990992121,8588,-1631,1392,0.3702,61.5,11.3,93.3,319.9,33.0,21.5,60.1,31.5,40.7,2.1,30.3,93.3,21.8,38.1,70.0,0.4,22.8,23.64,"848,756",38.1,4.10,108,20.3,7.5882161476,0.62974518,5.0622322552,6297.4518,0,0.1606240896,16.567157269,107,13,KR-41199,KR-41,88,0,187409,20.7,8.0,75.9,49.2,0,0.1615690815,0,34.965612034,0,83.605440507,13.651527027,-0.19216359,0.1640047316,1.0118337897,126.79384466,37.5291955,6.2974518,43.06951786,19.225807604,41.863345988,1.9536992142,94.424607581,11.159341127,19.476981813,6.1,10.1,"30,480","301,024",13,0,3.5911380892,10.622522383,14.364326963,103
Gyeonggi,Osan,3,4,1,1,2,3,0.068383719,20.239828328,3099,100,1433,0.6597,78.1,5.8,87.2,325.2,35.7,23.0,62.8,36.3,41.3,3.9,31.0,89.1,25.4,38.0,42.5,0.5,37,27.62,"228,059",39.0,6.37,91.2,20.3,1.921036929,1.8748218663,4.1480494083,18748.218663,1.1049967955,0.0378201728,15.423690479,108,13,KR-41370,KR-41,20220,3.6,180996,14.9,7.8,75.9,49.2,0.0491883799,0.0464010254,1.7121925346,36.426998482,63.712983736,27.590189838,12.337359646,0.0438483024,0.6283461736,1.3588588918,127.05122495,37.162222,18.748218663,46.502185489,21.563615184,35.854525982,3.207573338,93.950495116,11.945084363,27.3073773,11.5,10,"6,853","68,453",13,8,3.0049241644,11.392200248,19.029229704,104
Gyeonggi,Paju,4,2,10,1,2,3,0.0430051054,20.447872849,5118,-179,1567,0.801,51.2,8.1,92.2,315.1,35.3,24.9,60.9,38.0,40.8,3.5,31.6,94.1,19.3,38.0,43.8,0.5,27.1,25.12,"447,906",36.3,3.51,94.1,20.3,2.4509576947,1.8066046894,5.0733859337,18066.046894,0.3086848482,0.0578037073,16.455082612,109,13,KR-41480,KR-41,20270,5.3,323955,16.9,5.2,75.9,49.2,0.0502168511,0.0525955765,1.5798490531,34.559354201,35.051231923,43.238128752,13.012338668,-0.039963742,0.3498501918,1.1426504668,126.80292757,37.846569,18.066046894,46.606292487,18.632913909,37.201144183,1.732579725,88.848398839,11.205724842,21.9954251,9.0,6.2,"11,682","187,258",13,16,2.6081365286,10.694936883,15.759634198,105
Gyeonggi,Paldal,6,7,13,1,2,3,0.048800992,19.396644895,19033,-585,5420,0,74.2,9.1,99.1,358.3,30.0,22.4,63.4,30.9,44.9,2.9,25.3,95.2,21.4,44.5,50.7,0,0,0,"194,299",43.2,11.46,0,20.3,1.6876051858,0.9938826412,4.8020951017,9938.8264116,0,0.06373373,17.094320583,110,8,KR-41115,KR-41,78,0,194299,0,3.3,75.9,49.2,0.0431644013,0.0308756092,0,34.482758621,114.64303129,0.1871445556,12.177153489,-0.301082352,2.7895151287,9.7957272039,127.01913652,37.2751915,9.9388264116,44.447696938,18.888353522,6.3677121391,5.5816103885,100.45113848,12.567621909,0.9732064012,7.0,,,,,26,,11.948635256,1.2940890089,106
Gyeonggi,Pocheon,6,7,6,1,2,3,0.083078803,19.098948987,1491,-298,437,1.4676,75.8,9.0,102.2,386.0,37.0,26.5,55.8,36.5,42.7,2.8,31.1,91.8,25.3,40.1,50.4,0.6,20.7,21.94,"161,564",38.6,12.15,93.5,20.3,2.7778591302,2.4147108886,7.0213661459,24147.108886,1.4643432421,0.0684104554,15.364752719,111,13,KR-41650,KR-41,20290,8.2,136580,10,2.4,75.9,49.2,0.0456794553,0.0363838044,1.091667887,38.077655093,121.52049869,34.469915068,11.992656628,-0.18444703,0.2704810478,0.9228541012,127.23786089,37.970333,24.147108886,43.979450446,20.701550329,36.601244393,5.9838014193,106.95541096,12.314348077,18.329031287,8.7,5.1,"4,732","93,435",13,19,2.9288702929,11.780935181,13.744611784,107
